參與者編號,中央結算系統參與者名稱 (*即願意披露的投資者戶口持有人),地址,持股量,佔已發行股份/權證/單位百分比
A00003,中國証券登記結算有限責任公司,17 TAIPING QIAO STREET XICHENG DISTRICT BEIJING CHINA,"151,148,600",14.09%
C00019,香港上海匯豐銀行有限公司,HSBC WEALTH BUSINESS SERVICES 8/F TOWER 2 & 3 HSBC CENTRE 1 SHAM MONG ROAD KOWLOON,"133,273,799",12.42%
A00004,中國証券登記結算有限責任公司,17 TAIPING QIAO STREET XICHENG DISTRICT BEIJING CHINA,"91,218,748",8.50%
B01955,富途證券國際(香港)有限公司,34/F UNITED CENTRE 95 QUEENSWAY ADMIRALTY HONG KONG,"44,505,885",4.14%
B01451,高盛(亞洲)證券有限公司,68TH FLOOR CHEUNG KONG CENTER 2 QUEEN'S ROAD CENTRAL HONG KONG,"39,728,424",3.70%
C00010,花旗銀行,9/F CITI TOWER ONE BAY EAST 83 HOI BUN ROAD KWUN TONG KOWLOON,"23,874,326",2.22%
C00033,中國銀行(香港)有限公司,23/F BANK OF CHINA CENTRE OLYMPIAN CITY 11 HOI FAI ROAD WEST KOWLOON,"20,912,300",1.94%
B01912,核聚證券有限公司,SUITE C 20/F STANDARD CHARTERED BANK BUILDING 4-4A DES VOEUX ROAD CENTRAL CENTRAL HONG KONG,"19,883,897",1.85%
C00039,渣打銀行(香港)有限公司,18/F STANDARD CHARTERED BANK TOWER MILLENNIUM CITY 388 KWUN TONG ROAD KWUN TONG KOWLOON,"9,855,237",0.91%
B01284,恒生證券有限公司,HANG SENG 113 113 ARGYLE STREET MONGKOK KOWLOON,"8,836,700",0.82%
B01901,招銀國際證券有限公司,45/F CHAMPION TOWER 3 GARDEN ROAD CENTRAL HONG KONG,"6,816,190",0.63%
B02065,富中證券有限公司,ROOM 404-405 NAN FUNG TOWER 88 CONNAUGHT ROAD CENTRAL CENTRAL HONG KONG,"6,106,000",0.56%
B01130,中銀國際證券有限公司,22/F GRAND MILLENNIUM PLAZA 181 QUEEN'S ROAD CENTRAL HONG KONG,"5,769,000",0.53%
C00042,招商永隆銀行有限公司,45 DES VOEUX ROAD CENTRAL HONG KONG,"4,775,700",0.44%
B01668,耀才證券國際(香港)有限公司,10/F WING ON HOUSE 71 DES VOEUX ROAD CENTRAL CENTRAL HONG KONG,"4,470,400",0.41%
B01353,大華繼顯(香港)有限公司,6/F HARCOURT HOUSE 39 GLOUCESTER ROAD HONG KONG,"3,106,700",0.28%
C00016,DBS BANK LTD,7/F TWO HARBOUR SQUARE 180 WAI YIP STREET KWUN TONG KOWLOON,"3,100,500",0.28%
B01894,峰匯金融集團有限公司,25/F HENLEY BUILDING 5 QUEEN'S ROAD CENTRAL HONG KONG,"2,798,800",0.26%
B01345,輝立証券(香港)有限公司,11/F UNITED CENTRE 95 QUEENSWAY HONG KONG,"2,714,000",0.25%
B01727,工銀亞洲証券有限公司,2/F ONE HARBOURFRONT 18-22 TAK FUNG ST HUNG HOM KOWLOON,"2,674,400",0.24%
B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,46/F INTERNATIONAL COMMERCE CENTRE 1 AUSTIN ROAD WEST KOWLOON,"2,649,827",0.24%
B01161,UBS SECURITIES HONG KONG LTD,47-52/F TWO INTERNATIONAL FINANCE CENTRE 8 FINANCE STREET CENTRAL HONG KONG,"2,176,087",0.20%
